入职日期,带宽中位值,备注,职族,数据状态,员工姓名,市场中位值,年度总现金(元),岗位评估得分,司龄(年),基本工资(元/月),市场25分位,固定浮动比,带宽上限,所属部门,上年度绩效,市场75分位,岗位,职务级别,工号,带宽下限
2019-07-01,,,职能,有效,杨**,19800.0,186400.0,638.0,3.5,13300.0,16600.0,71:29,,行政部,B,23400.0,薪酬绩效经理,P4,E0051,
2019-07-01,,,技术,有效,何**,26500.0,316600.0,,3.5,22500.0,,65:35,,工艺工程部,A,30700.0,工程师,P5,E0052,
2019-07-01,,,销售,有效,徐**,36600.0,626800.0,,8.3,39800.0,30500.0,34:66,,大客户部,B,45100.0,大区销售总监,P6,E0053,
2019-07-01,,,技术,有效,高**,37500.0,517400.0,,8.5,35000.0,30500.0,64:36,,产品技术部,C,44000.0,首席工程师,P6,E0054,
2019-07-01,,,销售,有效,唐**,14300.0,210000.0,,3.2,15000.0,12000.0,37:63,,渠道发展部,B,17300.0,高级客户经理,P3,E0055,
2019-07-01,,,职能,有效,周**,15700.0,248100.0,,4.3,17200.0,13500.0,72:28,,采购部,C,19500.0,人力资源主管,P3,E0056,
2019-07-01,,,职能,有效,高**,20100.0,263100.0,654.0,7.3,18800.0,17100.0,71:29,,人力资源部,D,23700.0,人力资源主管,P4,E0057,
2019-07-01,,,职能,有效,徐**,8800.0,,,2.0,8700.0,7200.0,74:26,,人力资源部,C,10900.0,会计专员,P1,E0058,
2019-07-01,,,职能,有效,冯**,20500.0,275500.0,639.0,7.7,18900.0,17000.0,,,采购部,A,25100.0,薪酬绩效经理,P4,E0059,
2019-07-01,,,操作,有效,宋**,15500.0,,561.0,5.0,16200.0,13500.0,,,生产制造部,A,18500.0,班组长,P3,E0060,
2019-07-01,,,职能,有效,邓**,15400.0,204900.0,464.0,4.9,14000.0,13300.0,,,人力资源部,D,18500.0,薪酬绩效经理,P3,E0061,
2019-07-01,,,技术,有效,韩**,15200.0,140200.0,515.0,3.3,10100.0,12300.0,67:33,,研发中心,B,18400.0,技术专家,P3,E0062,
2019-07-01,,,技术,有效,陈**,25400.0,284000.0,781.0,10.0,21200.0,20800.0,65:35,,工艺工程部,C,31700.0,技术专家,P5,E0063,
2019-07-01,,,职能,有效,郑**,8800.0,,187.0,0.2,6900.0,7500.0,74:26,,人力资源部,C,10300.0,人事专员,P1,E0064,
2019-07-01,,,职能,有效,唐**,15400.0,185700.0,,0.2,13600.0,13200.0,72:28,,人力资源部,B,19000.0,人力资源主管,P3,E0065,
2019-07-01,,,技术,有效,李**,26500.0,,712.0,5.6,20600.0,23200.0,65:35,,研发中心,B,31800.0,工程师,P5,E0066,
2019-07-01,,,操作,有效,孙**,11200.0,,,2.7,13300.0,9500.0,,,生产制造部,B,13800.0,生产线技工,P2,E0067,
2019-07-01,,,技术,有效,刘**,15500.0,206700.0,,4.8,14400.0,12800.0,,,产品技术部,B,18300.0,工程师,P3,E0068,
2019-07-01,,,职能,有效,朱**,10700.0,125300.0,363.0,3.0,9100.0,,73:27,,人力资源部,C,13300.0,会计专员,P2,E0069,
2019-07-01,,,管理,有效,张**,49800.0,,1055.0,2.6,33100.0,40200.0,59:41,,总经办,A,61100.0,事业部负责人,M1,E0070,
2019-07-01,,,职能,有效,曹**,10200.0,107400.0,,2.9,7500.0,8400.0,73:27,,采购部,A,11800.0,人事专员,P2,E0071,
2019-07-01,,,职能,有效,宋**,10600.0,129800.0,357.0,0.5,9700.0,9100.0,,,行政部,B,12500.0,人事专员,P2,E0072,
2019-07-01,,,管理,有效,朱**,28200.0,,782.0,7.3,27800.0,23400.0,55:45,,总经办,B,33100.0,事业部负责人,P5,E0073,
2019-07-01,,,管理,有效,梁**,47200.0,660000.0,,1.7,44400.0,40100.0,59:41,,运营管理部,C,54500.0,部门经理,M1,E0074,
2019-07-01,,,销售,有效,胡**,27400.0,344600.0,799.0,7.6,22200.0,23200.0,35:65,,大客户部,B,32000.0,高级客户经理,P5,E0075,
2019-07-01,,,技术,有效,宋**,27200.0,259300.0,,5.0,19200.0,23100.0,,,设备技术部,C,32700.0,工程师,P5,E0076,
2019-07-01,,,操作,有效,胡**,8300.0,100700.0,343.0,2.4,8000.0,6900.0,,,质量管理部,B,9700.0,检验员,P1,E0077,
2019-07-01,,,操作,有效,张**,8500.0,110400.0,,3.2,8200.0,6900.0,79:21,,厂务部,B,10400.0,操作工,P1,E0078,
2019-07-01,,,管理,有效,胡**,61500.0,,,0.5,46700.0,52100.0,58:42,,运营管理部,B,76400.0,事业部总经理,M2,E0079,
2019-07-01,,,技术,有效,黄**,19300.0,,,5.8,13500.0,15500.0,,,产品技术部,A,22800.0,高级工程师,P4,E0080,
2019-07-01,,,职能,有效,朱**,36400.0,364600.0,958.0,9.8,26600.0,29400.0,,,法务合规部,B,44300.0,财务总监,P6,E0081,
2019-07-01,,,技术,有效,周**,36200.0,361400.0,,8.3,23000.0,31600.0,64:36,,产品技术部,D,42800.0,研发架构师,P6,E0082,
2019-07-01,,,技术,有效,黄**,35600.0,617400.0,,6.8,43000.0,31100.0,,,工艺工程部,B,44000.0,资深技术专家,P6,E0083,
2019-07-01,,,技术,有效,李**,37700.0,583900.0,903.0,7.7,41200.0,30700.0,64:36,,工艺工程部,D,43900.0,资深技术专家,P6,E0084,
2019-07-01,,,操作,有效,朱**,15000.0,196700.0,469.0,2.6,14800.0,12900.0,,,仓储物流部,C,18500.0,设备技师,P3,E0085,
2019-07-01,,,销售,有效,曹**,26800.0,379200.0,803.0,5.5,24200.0,,35:65,,销售二部,C,31000.0,高级客户经理,P5,E0086,
2019-07-01,,,职能,有效,林**,19300.0,245500.0,617.0,2.4,19900.0,15900.0,71:29,,采购部,B,22800.0,人力资源主管,P4,E0087,
2019-07-01,,,技术,有效,王**,36600.0,539000.0,,8.1,37700.0,29700.0,64:36,,产品技术部,C,45400.0,资深技术专家,P6,E0088,
2019-07-01,,,技术,有效,周**,34600.0,493100.0,883.0,9.6,33500.0,28200.0,64:36,,工艺工程部,B,42000.0,研发架构师,P6,E0089,
2019-07-01,,,技术,有效,张**,14800.0,193800.0,528.0,5.2,13800.0,12000.0,,,工艺工程部,B,17700.0,高级工程师,P3,E0090,
2019-07-01,,,操作,有效,曹**,10600.0,126600.0,387.0,0.2,9500.0,9000.0,78:22,,生产制造部,B,12800.0,操作工,P2,E0091,
2019-07-01,,,技术,有效,梁**,27600.0,426700.0,,5.8,31100.0,23600.0,,,设备技术部,B,32300.0,技术专家,P5,E0092,
2019-07-01,,,技术,有效,王**,8100.0,133900.0,251.0,0.2,9800.0,6900.0,69:31,,产品技术部,B,10000.0,助理工程师,P1,E0093,
2019-07-01,,,职能,有效,赵**,7600.0,129400.0,236.0,1.4,9300.0,6500.0,74:26,,行政部,B,8800.0,会计专员,P1,E0094,
2019-07-01,,,操作,有效,唐**,10600.0,140400.0,299.0,0.5,11000.0,8500.0,78:22,,仓储物流部,A,12300.0,检验员,P2,E0095,
2019-07-01,,,技术,有效,黄**,20000.0,232100.0,680.0,4.7,18100.0,17100.0,,,工艺工程部,B,24400.0,技术专家,P4,E0096,
2019-07-01,,,管理,有效,韩**,66600.0,,,4.0,64600.0,57800.0,58:42,,事业部管理,A,79500.0,事业部总经理,M2,E0097,
2019-07-01,,,职能,有效,黄**,16200.0,193500.0,553.0,3.4,13900.0,13300.0,,,行政部,B,18900.0,薪酬绩效经理,P3,E0098,
2019-07-01,,,销售,有效,王**,15200.0,217900.0,471.0,3.3,14500.0,12300.0,37:63,,渠道发展部,B,18300.0,解决方案顾问,P3,E0099,
2019-07-01,,,销售,有效,徐**,19400.0,230800.0,564.0,4.3,16200.0,16200.0,36:64,,销售二部,B,22800.0,高级客户经理,P4,E0100,
2019-07-01,,,技术,有效,唐**,14900.0,190500.0,450.0,3.9,13700.0,12700.0,67:33,,研发中心,C,18000.0,高级工程师,P3,E0101,
2019-07-01,,,职能,有效,许**,8100.0,89400.0,337.0,2.2,6500.0,7100.0,,,法务合规部,C,9700.0,会计专员,P1,E0102,
2019-07-01,,,技术,有效,罗**,19400.0,267500.0,,3.0,17900.0,16000.0,66:34,,设备技术部,B,23700.0,技术专家,P4,E0103,
2019-07-01,,,职能,有效,何**,20000.0,232100.0,683.0,3.3,18400.0,17200.0,,,财务部,C,24900.0,薪酬绩效经理,P4,E0104,
2019-07-01,,,管理,有效,王**,87600.0,1469500.0,,3.2,95600.0,75600.0,57:43,,事业部管理,B,101800.0,总监,M3,E0105,
2019-07-01,,,职能,有效,徐**,19800.0,250400.0,586.0,4.6,18100.0,16200.0,71:29,,法务合规部,C,23400.0,薪酬绩效经理,P4,E0106,
2019-07-01,,,销售,有效,曹**,28300.0,368500.0,,5.7,22400.0,24800.0,35:65,,销售一部,C,35300.0,区域销售经理,P5,E0107,
2019-07-01,,,职能,有效,胡**,20100.0,301800.0,616.0,6.8,20700.0,16800.0,71:29,,采购部,A,24300.0,财务主管,P4,E0108,
2019-07-01,,,职能,有效,王**,20600.0,,589.0,5.1,18300.0,18000.0,,,行政部,C,25500.0,薪酬绩效经理,P4,E0109,
2019-07-01,,,管理,有效,陈**,48200.0,534400.0,1073.0,0.2,37700.0,40000.0,,,事业部管理,A,59300.0,事业部负责人,M1,E0110,
2019-07-01,,,管理,有效,张**,60100.0,1277400.0,,0.2,84800.0,51800.0,58:42,,总经办,B,70100.0,总监,M2,E0111,
2019-07-01,,,技术,有效,杨**,14200.0,173800.0,,2.4,13300.0,12200.0,67:33,,产品技术部,C,16400.0,工程师,P3,E0112,
2019-07-01,,,销售,有效,唐**,26700.0,446700.0,786.0,7.3,29700.0,21700.0,35:65,,销售二部,B,32200.0,解决方案顾问,P5,E0113,
2019-07-01,,,技术,有效,张**,21400.0,291600.0,648.0,4.2,20200.0,18600.0,66:34,,工艺工程部,B,25900.0,技术专家,P4,E0114,
2019-07-01,,,职能,有效,李**,8300.0,87800.0,,0.4,5800.0,7300.0,74:26,,行政部,B,9700.0,会计专员,P1,E0115,
2019-07-01,,,职能,有效,张**,10400.0,146300.0,,3.1,10100.0,9100.0,73:27,,法务合规部,B,12600.0,行政专员,P2,E0116,
2019-07-01,,,操作,有效,杨**,11200.0,,322.0,0.7,10900.0,9600.0,78:22,,厂务部,A,13300.0,生产线技工,P2,E0117,
2019-07-01,,,技术,有效,邓**,26800.0,424500.0,744.0,6.9,29900.0,23100.0,,,产品技术部,D,31800.0,工程师,P5,E0118,
2019-07-01,,,操作,有效,曹**,11000.0,134600.0,409.0,1.4,10200.0,9400.0,,,厂务部,A,12700.0,操作工,P2,E0119,
2019-07-01,,,操作,有效,杨**,8000.0,76900.0,211.0,0.7,6200.0,6800.0,,,质量管理部,C,9500.0,操作工,P1,E0120,
2019-07-01,,,职能,有效,宋**,10100.0,117200.0,,2.8,8000.0,8600.0,73:27,,行政部,B,11700.0,行政专员,P2,E0121,
2019-07-01,,,技术,有效,黄**,26500.0,386800.0,755.0,4.2,24800.0,,65:35,,工艺工程部,C,32700.0,工程师,P5,E0122,
2019-07-01,,,销售,有效,韩**,14200.0,,535.0,3.3,15300.0,12400.0,37:63,,销售一部,B,16500.0,区域销售经理,P3,E0123,
2019-07-01,,,操作,有效,黄**,11300.0,106600.0,,3.6,7700.0,9800.0,,,厂务部,B,13000.0,生产线技工,P2,E0124,
2019-07-01,,,职能,有效,曹**,21100.0,,,6.7,20500.0,17000.0,,,人力资源部,A,26400.0,财务主管,P4,E0125,
2019-07-01,,,操作,有效,朱**,8400.0,106500.0,313.0,1.8,8500.0,7300.0,79:21,,质量管理部,C,10400.0,检验员,P1,E0126,
2019-07-01,,,技术,有效,胡**,19300.0,223600.0,627.0,3.6,16900.0,15500.0,66:34,,研发中心,B,24100.0,高级工程师,P4,E0127,
2019-07-01,,,管理,有效,许**,66100.0,924200.0,1205.0,0.6,60800.0,54600.0,58:42,,事业部管理,C,78500.0,总监,M2,E0128,
2019-07-01,,,操作,有效,孙**,11500.0,134400.0,,0.2,9900.0,,78:22,,质量管理部,B,14200.0,检验员,P2,E0129,
2019-07-01,,,操作,有效,赵**,10400.0,,337.0,0.2,10000.0,8500.0,78:22,,生产制造部,B,12200.0,操作工,P2,E0130,
2019-07-01,,,职能,有效,徐**,11000.0,160900.0,383.0,2.5,11600.0,9100.0,,,财务部,B,13200.0,行政专员,P2,E0131,
2019-07-01,,,职能,有效,梁**,14800.0,177700.0,491.0,3.8,13500.0,12600.0,72:28,,人力资源部,A,17100.0,薪酬绩效经理,P3,E0132,
2019-07-01,,,职能,有效,陈**,25900.0,,,6.6,22300.0,21400.0,,,财务部,B,30500.0,人力资源主管,P5,E0133,
2019-07-01,,,管理,有效,梁**,48600.0,592300.0,,0.8,41900.0,38900.0,,,事业部管理,B,60700.0,部门经理,M1,E0134,
2019-07-01,,,职能,有效,唐**,10000.0,103600.0,,2.0,7800.0,8400.0,73:27,,采购部,C,12300.0,行政专员,P2,E0135,
2019-07-01,,,职能,有效,张**,8400.0,132100.0,240.0,0.2,9300.0,7100.0,,,采购部,B,9700.0,行政专员,P1,E0136,
2019-07-01,,,操作,有效,邓**,11300.0,155500.0,,2.0,12000.0,9700.0,78:22,,质量管理部,B,13600.0,生产线技工,P2,E0137,
2019-07-01,,,职能,有效,陈**,14500.0,,,3.0,15800.0,12100.0,72:28,,法务合规部,C,17800.0,财务主管,P3,E0138,
2019-07-01,,,管理,有效,唐**,35100.0,522800.0,,5.9,34000.0,29000.0,54:46,,总经办,B,42300.0,事业部总经理,P6,E0139,
2019-07-01,,,管理,有效,陈**,45600.0,916800.0,1137.0,0.2,60500.0,39100.0,,,运营管理部,C,54200.0,事业部负责人,M1,E0140,
2019-07-01,,,技术,有效,周**,36500.0,,,5.6,32500.0,30300.0,,,工艺工程部,C,43800.0,研发架构师,P6,E0141,
2019-07-01,,,操作,有效,高**,11500.0,134900.0,360.0,3.0,10200.0,9600.0,78:22,,仓储物流部,A,14100.0,生产线技工,P2,E0142,
2019-07-01,,,操作,有效,唐**,10700.0,136200.0,473.0,3.1,11000.0,8800.0,78:22,,质量管理部,B,12500.0,检验员,P2,E0143,
2019-07-01,,,职能,有效,孙**,10400.0,163500.0,345.0,0.2,11500.0,8700.0,73:27,,财务部,B,12600.0,行政专员,P2,E0144,
2019-07-01,,,技术,有效,马**,28100.0,,752.0,5.1,31000.0,24300.0,65:35,,研发中心,A,33400.0,技术专家,P5,E0145,
2019-07-01,,,技术,有效,张**,14900.0,,564.0,4.0,16800.0,12400.0,,,产品技术部,B,18200.0,技术专家,P3,E0146,
2019-07-01,,,技术,有效,林**,20300.0,308600.0,,5.3,21200.0,16600.0,66:34,,设备技术部,B,24200.0,工程师,P4,E0147,
2019-07-01,,,技术,有效,韩**,18900.0,357600.0,628.0,3.2,26200.0,15400.0,,,工艺工程部,C,22000.0,工程师,P4,E0148,
2019-07-01,,,操作,有效,吴**,11100.0,143100.0,298.0,1.7,10700.0,9500.0,78:22,,厂务部,C,12800.0,检验员,P2,E0149,
2019-07-01,,,管理,有效,李**,45900.0,,,3.0,33100.0,37400.0,59:41,,运营管理部,C,53300.0,事业部负责人,M1,E0150,
2019-07-01,,,技术,有效,宋**,15400.0,,385.0,2.6,19900.0,12300.0,67:33,,产品技术部,B,18100.0,技术专家,P3,E0001,
