工号,姓名,部门,职级,岗位,职族,绩效,司龄(年),固定浮动比,薪资,年度总现金(元),评估,下限,中位值,上限,P25,P50,P75,入职日期,备注
E0016,邓**,法务合规部,P4,薪酬绩效经理,职能,B,4.9,71:29,22400.0,310900.0,623.0,14100.0,20000.0,26300.0,16600.0,19600.0,22900.0,,
E0017,周**,质量管理部,P1,检验员,操作,C,1.4,79:21,9300.0,118800.0,213.0,5700.0,7900.0,10500.0,6700.0,7700.0,9100.0,,
E0018,刘**,工艺工程部,P4,工程师,技术,B,5.7,66:34,18400.0,276300.0,638.0,15200.0,21000.0,28900.0,17900.0,20600.0,25100.0,,
E0019,韩**,工艺工程部,P2,初级开发工程师,技术,C,0.2,68:32,10900.0,,,7900.0,11300.0,14700.0,9300.0,11100.0,12800.0,,
E0020,朱**,工艺工程部,P4,工程师,技术,C,3.5,66:34,27900.0,386500.0,582.0,,21000.0,28500.0,,20600.0,24800.0,,
E0021,杨**,厂务部,P2,操作工,操作,C,1.5,,10600.0,,389.0,7600.0,10800.0,14100.0,9000.0,10600.0,12300.0,,
E0022,何**,研发中心,P4,工程师,技术,B,4.1,66:34,26100.0,366800.0,669.0,14000.0,19700.0,27300.0,16500.0,19300.0,23700.0,,
E0023,何**,厂务部,P2,检验员,操作,C,0.2,78:22,14100.0,179700.0,295.0,,12100.0,16000.0,,11900.0,13900.0,,
E0024,黄**,法务合规部,P3,薪酬绩效经理,职能,B,3.5,72:28,10800.0,,428.0,,15100.0,21200.0,,14800.0,18400.0,,
E0025,曹**,事业部管理,M1,事业部负责人,管理,B,0.2,,51300.0,825000.0,,32900.0,47000.0,64600.0,38700.0,46100.0,56200.0,,
E0026,马**,设备技术部,P3,技术专家,技术,B,3.8,,16500.0,209600.0,,10300.0,14900.0,20800.0,12100.0,14600.0,18100.0,,
E0027,梁**,总经办,M1,事业部负责人,管理,B,2.2,59:41,63800.0,954000.0,,31800.0,45200.0,59500.0,37400.0,44300.0,51700.0,,
E0028,宋**,法务合规部,P6,人力资源总监,职能,B,7.2,69:31,39000.0,596800.0,830.0,25300.0,37200.0,49600.0,29800.0,36500.0,43100.0,,
E0029,何**,生产制造部,P2,操作工,操作,B,1.1,78:22,8100.0,100600.0,344.0,8100.0,11500.0,15300.0,9500.0,11300.0,13300.0,,
E0030,曹**,法务合规部,P4,财务主管,职能,B,2.1,,22000.0,322400.0,640.0,14400.0,21400.0,28700.0,17000.0,21000.0,25000.0,,
E0031,邓**,厂务部,P1,检验员,操作,A,0.2,,11000.0,,,5700.0,8200.0,11200.0,6700.0,8000.0,9700.0,,
E0032,李**,总经办,M1,部门经理,管理,C,0.2,59:41,39400.0,589700.0,,35400.0,52600.0,69700.0,41600.0,51600.0,60600.0,,
E0033,冯**,厂务部,P1,生产线技工,操作,B,0.2,79:21,5400.0,78200.0,232.0,6000.0,8800.0,11600.0,7000.0,8600.0,10100.0,,
E0034,胡**,总经办,M3,总监,管理,B,3.2,57:43,93900.0,1348800.0,,,92900.0,121800.0,,91100.0,105900.0,,
E0035,孙**,法务合规部,P3,薪酬绩效经理,职能,C,0.5,,14300.0,214100.0,447.0,11300.0,15600.0,20400.0,13300.0,15300.0,17700.0,,
E0036,宋**,质量管理部,P1,生产线技工,操作,C,1.3,79:21,8000.0,107400.0,276.0,6000.0,8500.0,11700.0,7100.0,8300.0,10200.0,,
E0037,徐**,渠道发展部,P4,高级客户经理,销售,B,4.8,36:64,26600.0,403800.0,709.0,14700.0,20100.0,27600.0,17300.0,19700.0,24000.0,,
E0038,胡**,销售一部,P3,高级客户经理,销售,C,3.6,37:63,11800.0,,,10200.0,14900.0,19700.0,12000.0,14600.0,17100.0,,
E0039,林**,大客户部,P3,高级客户经理,销售,B,3.3,37:63,12900.0,209100.0,550.0,11500.0,16600.0,21600.0,13500.0,16300.0,18800.0,,
E0040,陈**,研发中心,P3,工程师,技术,A,1.2,67:33,13800.0,178200.0,,10400.0,15300.0,20900.0,12200.0,15000.0,18200.0,,
E0041,梁**,质量管理部,P1,检验员,操作,B,2.0,79:21,11400.0,137100.0,366.0,,8400.0,11600.0,,8200.0,10100.0,,
E0042,许**,财务部,P2,会计专员,职能,B,2.9,73:27,10600.0,143500.0,386.0,7400.0,11000.0,14800.0,8700.0,10800.0,12900.0,,
E0043,郭**,法务合规部,P3,人力资源主管,职能,B,0.6,72:28,11100.0,154700.0,,10000.0,14300.0,19300.0,11800.0,14000.0,16800.0,,
E0044,张**,产品技术部,P3,工程师,技术,B,5.1,,15900.0,222400.0,568.0,11300.0,15600.0,21000.0,13300.0,15300.0,18300.0,,
E0045,邓**,仓储物流部,P2,操作工,操作,A,0.8,78:22,9800.0,127100.0,,7100.0,10100.0,13900.0,8400.0,9900.0,12100.0,,
E0046,梁**,大客户部,P4,区域销售经理,销售,C,5.3,36:64,20600.0,290700.0,623.0,13700.0,19100.0,26800.0,16100.0,18700.0,23300.0,,
E0047,吴**,大客户部,P5,解决方案顾问,销售,C,7.6,35:65,26700.0,387700.0,,19300.0,28000.0,39000.0,22700.0,27500.0,33900.0,,
E0048,何**,质量管理部,P1,操作工,操作,C,0.9,79:21,7600.0,96600.0,,6100.0,8500.0,11700.0,7200.0,8300.0,10200.0,,
E0049,许**,产品技术部,P3,技术专家,技术,B,3.7,67:33,13700.0,196100.0,,11100.0,15800.0,21400.0,13100.0,15500.0,18600.0,,
E0050,高**,质量管理部,P1,操作工,操作,C,0.2,,10300.0,,265.0,5400.0,7500.0,10600.0,6300.0,7400.0,9200.0,,
E0051,杨**,行政部,P4,薪酬绩效经理,职能,B,3.5,71:29,13300.0,186400.0,638.0,14100.0,20200.0,26900.0,16600.0,19800.0,23400.0,,
E0052,何**,工艺工程部,P5,工程师,技术,A,3.5,65:35,22500.0,316600.0,,,27000.0,35300.0,,26500.0,30700.0,,
E0053,徐**,大客户部,P6,大区销售总监,销售,B,8.3,34:66,39800.0,626800.0,,25900.0,37300.0,51900.0,30500.0,36600.0,45100.0,,
E0054,高**,产品技术部,P6,首席工程师,技术,C,8.5,64:36,35000.0,517400.0,,25900.0,38200.0,50600.0,30500.0,37500.0,44000.0,,
E0055,唐**,渠道发展部,P3,高级客户经理,销售,B,3.2,37:63,15000.0,210000.0,,10200.0,14600.0,19900.0,12000.0,14300.0,17300.0,,
E0056,周**,采购部,P3,人力资源主管,职能,C,4.3,72:28,17200.0,248100.0,,11500.0,16000.0,22400.0,13500.0,15700.0,19500.0,,
E0057,高**,人力资源部,P4,人力资源主管,职能,D,7.3,71:29,18800.0,263100.0,654.0,14500.0,20500.0,27300.0,17100.0,20100.0,23700.0,,
E0058,徐**,人力资源部,P1,会计专员,职能,C,2.0,74:26,8700.0,,,6100.0,9000.0,12500.0,7200.0,8800.0,10900.0,,
E0059,冯**,采购部,P4,薪酬绩效经理,职能,A,7.7,,18900.0,275500.0,639.0,14400.0,20900.0,28900.0,17000.0,20500.0,25100.0,,
E0060,宋**,生产制造部,P3,班组长,操作,A,5.0,,16200.0,,561.0,11500.0,15800.0,21300.0,13500.0,15500.0,18500.0,,
E0061,邓**,人力资源部,P3,薪酬绩效经理,职能,D,4.9,,14000.0,204900.0,464.0,11300.0,15700.0,21300.0,13300.0,15400.0,18500.0,,
E0062,韩**,研发中心,P3,技术专家,技术,B,3.3,67:33,10100.0,140200.0,515.0,10500.0,15500.0,21200.0,12300.0,15200.0,18400.0,,
E0063,陈**,工艺工程部,P5,技术专家,技术,C,10.0,65:35,21200.0,284000.0,781.0,17700.0,25900.0,36500.0,20800.0,25400.0,31700.0,,
E0064,郑**,人力资源部,P1,人事专员,职能,C,0.2,74:26,6900.0,,187.0,6400.0,9000.0,11800.0,7500.0,8800.0,10300.0,,
E0065,唐**,人力资源部,P3,人力资源主管,职能,B,0.2,72:28,13600.0,185700.0,,11200.0,15700.0,21800.0,13200.0,15400.0,19000.0,,
E0066,李**,研发中心,P5,工程师,技术,B,5.6,65:35,20600.0,,712.0,19700.0,27000.0,36600.0,23200.0,26500.0,31800.0,,
E0067,孙**,生产制造部,P2,生产线技工,操作,B,2.7,,13300.0,,,8100.0,11400.0,15900.0,9500.0,11200.0,13800.0,,
E0068,刘**,产品技术部,P3,工程师,技术,B,4.8,,14400.0,206700.0,,10900.0,15800.0,21000.0,12800.0,15500.0,18300.0,,
E0069,朱**,人力资源部,P2,会计专员,职能,C,3.0,73:27,9100.0,125300.0,363.0,,10900.0,15300.0,,10700.0,13300.0,,
E0070,张**,总经办,M1,事业部负责人,管理,A,2.6,59:41,33100.0,,1055.0,34200.0,50800.0,70300.0,40200.0,49800.0,61100.0,,
E0071,曹**,采购部,P2,人事专员,职能,A,2.9,73:27,7500.0,107400.0,,7100.0,10400.0,13600.0,8400.0,10200.0,11800.0,,
E0072,宋**,行政部,P2,人事专员,职能,B,0.5,,9700.0,129800.0,357.0,7700.0,10800.0,14400.0,9100.0,10600.0,12500.0,,
E0073,朱**,总经办,P5,事业部负责人,管理,B,7.3,55:45,27800.0,,782.0,19900.0,28800.0,38100.0,23400.0,28200.0,33100.0,,
E0074,梁**,运营管理部,M1,部门经理,管理,C,1.7,59:41,44400.0,660000.0,,34100.0,48100.0,62700.0,40100.0,47200.0,54500.0,,
E0075,胡**,大客户部,P5,高级客户经理,销售,B,7.6,35:65,22200.0,344600.0,799.0,19700.0,27900.0,36800.0,23200.0,27400.0,32000.0,,
E0076,宋**,设备技术部,P5,工程师,技术,C,5.0,,19200.0,259300.0,,19600.0,27700.0,37600.0,23100.0,27200.0,32700.0,,
E0077,胡**,质量管理部,P1,检验员,操作,B,2.4,,8000.0,100700.0,343.0,5900.0,8500.0,11200.0,6900.0,8300.0,9700.0,,
E0078,张**,厂务部,P1,操作工,操作,B,3.2,79:21,8200.0,110400.0,,5900.0,8700.0,12000.0,6900.0,8500.0,10400.0,,
E0079,胡**,运营管理部,M2,事业部总经理,管理,B,0.5,58:42,46700.0,,,44300.0,62700.0,87900.0,52100.0,61500.0,76400.0,,
E0080,黄**,产品技术部,P4,高级工程师,技术,A,5.8,,13500.0,,,13200.0,19700.0,26200.0,15500.0,19300.0,22800.0,,
E0081,朱**,法务合规部,P6,财务总监,职能,B,9.8,,26600.0,364600.0,958.0,25000.0,37100.0,50900.0,29400.0,36400.0,44300.0,,
E0082,周**,产品技术部,P6,研发架构师,技术,D,8.3,64:36,23000.0,361400.0,,26900.0,36900.0,49200.0,31600.0,36200.0,42800.0,,
E0083,黄**,工艺工程部,P6,资深技术专家,技术,B,6.8,,43000.0,617400.0,,26400.0,36300.0,50600.0,31100.0,35600.0,44000.0,,
E0084,李**,工艺工程部,P6,资深技术专家,技术,D,7.7,64:36,41200.0,583900.0,903.0,26100.0,38500.0,50500.0,30700.0,37700.0,43900.0,,
E0085,朱**,仓储物流部,P3,设备技师,操作,C,2.6,,14800.0,196700.0,469.0,11000.0,15300.0,21300.0,12900.0,15000.0,18500.0,,
E0086,曹**,销售二部,P5,高级客户经理,销售,C,5.5,35:65,24200.0,379200.0,803.0,,27300.0,35600.0,,26800.0,31000.0,,
E0087,林**,采购部,P4,人力资源主管,职能,B,2.4,71:29,19900.0,245500.0,617.0,13500.0,19700.0,26200.0,15900.0,19300.0,22800.0,,
E0088,王**,产品技术部,P6,资深技术专家,技术,C,8.1,64:36,37700.0,539000.0,,25200.0,37300.0,52200.0,29700.0,36600.0,45400.0,,
E0089,周**,工艺工程部,P6,研发架构师,技术,B,9.6,64:36,33500.0,493100.0,883.0,24000.0,35300.0,48300.0,28200.0,34600.0,42000.0,,
E0090,张**,工艺工程部,P3,高级工程师,技术,B,5.2,,13800.0,193800.0,528.0,10200.0,15100.0,20400.0,12000.0,14800.0,17700.0,,
E0091,曹**,生产制造部,P2,操作工,操作,B,0.2,78:22,9500.0,126600.0,387.0,7600.0,10800.0,14700.0,9000.0,10600.0,12800.0,,
E0092,梁**,设备技术部,P5,技术专家,技术,B,5.8,,31100.0,426700.0,,20100.0,28200.0,37100.0,23600.0,27600.0,32300.0,,
E0093,王**,产品技术部,P1,助理工程师,技术,B,0.2,69:31,9800.0,133900.0,251.0,5900.0,8300.0,11500.0,6900.0,8100.0,10000.0,,
E0094,赵**,行政部,P1,会计专员,职能,B,1.4,74:26,9300.0,129400.0,236.0,5500.0,7800.0,10100.0,6500.0,7600.0,8800.0,,
E0095,唐**,仓储物流部,P2,检验员,操作,A,0.5,78:22,11000.0,140400.0,299.0,7200.0,10800.0,14100.0,8500.0,10600.0,12300.0,,
E0096,黄**,工艺工程部,P4,技术专家,技术,B,4.7,,18100.0,232100.0,680.0,14500.0,20400.0,28100.0,17100.0,20000.0,24400.0,,
E0097,韩**,事业部管理,M2,事业部总经理,管理,A,4.0,58:42,64600.0,,,49100.0,67900.0,91400.0,57800.0,66600.0,79500.0,,
E0098,黄**,行政部,P3,薪酬绩效经理,职能,B,3.4,,13900.0,193500.0,553.0,11300.0,16500.0,21700.0,13300.0,16200.0,18900.0,,
E0099,王**,渠道发展部,P3,解决方案顾问,销售,B,3.3,37:63,14500.0,217900.0,471.0,10500.0,15500.0,21000.0,12300.0,15200.0,18300.0,,
E0100,徐**,销售二部,P4,高级客户经理,销售,B,4.3,36:64,16200.0,230800.0,564.0,13800.0,19800.0,26200.0,16200.0,19400.0,22800.0,,
E0101,唐**,研发中心,P3,高级工程师,技术,C,3.9,67:33,13700.0,190500.0,450.0,10800.0,15200.0,20700.0,12700.0,14900.0,18000.0,,
E0102,许**,法务合规部,P1,会计专员,职能,C,2.2,,6500.0,89400.0,337.0,6000.0,8300.0,11200.0,7100.0,8100.0,9700.0,,
E0103,罗**,设备技术部,P4,技术专家,技术,B,3.0,66:34,17900.0,267500.0,,13600.0,19800.0,27300.0,16000.0,19400.0,23700.0,,
E0104,何**,财务部,P4,薪酬绩效经理,职能,C,3.3,,18400.0,232100.0,683.0,14600.0,20400.0,28600.0,17200.0,20000.0,24900.0,,
E0105,王**,事业部管理,M3,总监,管理,B,3.2,57:43,95600.0,1469500.0,,64300.0,89400.0,117100.0,75600.0,87600.0,101800.0,,
E0106,徐**,法务合规部,P4,薪酬绩效经理,职能,C,4.6,71:29,18100.0,250400.0,586.0,13800.0,20200.0,26900.0,16200.0,19800.0,23400.0,,
E0107,曹**,销售一部,P5,区域销售经理,销售,C,5.7,35:65,22400.0,368500.0,,21100.0,28900.0,40600.0,24800.0,28300.0,35300.0,,
E0108,胡**,采购部,P4,财务主管,职能,A,6.8,71:29,20700.0,301800.0,616.0,14300.0,20500.0,27900.0,16800.0,20100.0,24300.0,,
E0109,王**,行政部,P4,薪酬绩效经理,职能,C,5.1,,18300.0,,589.0,15300.0,21000.0,29300.0,18000.0,20600.0,25500.0,,
E0110,陈**,事业部管理,M1,事业部负责人,管理,A,0.2,,37700.0,534400.0,1073.0,34000.0,49200.0,68200.0,40000.0,48200.0,59300.0,,
E0111,张**,总经办,M2,总监,管理,B,0.2,58:42,84800.0,1277400.0,,44000.0,61300.0,80600.0,51800.0,60100.0,70100.0,,
E0112,杨**,产品技术部,P3,工程师,技术,C,2.4,67:33,13300.0,173800.0,,10400.0,14500.0,18900.0,12200.0,14200.0,16400.0,,
E0113,唐**,销售二部,P5,解决方案顾问,销售,B,7.3,35:65,29700.0,446700.0,786.0,18400.0,27200.0,37000.0,21700.0,26700.0,32200.0,,
E0114,张**,工艺工程部,P4,技术专家,技术,B,4.2,66:34,20200.0,291600.0,648.0,15800.0,21800.0,29800.0,18600.0,21400.0,25900.0,,
E0115,李**,行政部,P1,会计专员,职能,B,0.4,74:26,5800.0,87800.0,,6200.0,8500.0,11200.0,7300.0,8300.0,9700.0,,
E0116,张**,法务合规部,P2,行政专员,职能,B,3.1,73:27,10100.0,146300.0,,7700.0,10600.0,14500.0,9100.0,10400.0,12600.0,,
E0117,杨**,厂务部,P2,生产线技工,操作,A,0.7,78:22,10900.0,,322.0,8200.0,11400.0,15300.0,9600.0,11200.0,13300.0,,
E0118,邓**,产品技术部,P5,工程师,技术,D,6.9,,29900.0,424500.0,744.0,19600.0,27300.0,36600.0,23100.0,26800.0,31800.0,,
E0119,曹**,厂务部,P2,操作工,操作,A,1.4,,10200.0,134600.0,409.0,8000.0,11200.0,14600.0,9400.0,11000.0,12700.0,,
E0120,杨**,质量管理部,P1,操作工,操作,C,0.7,,6200.0,76900.0,211.0,5800.0,8200.0,10900.0,6800.0,8000.0,9500.0,,
E0121,宋**,行政部,P2,行政专员,职能,B,2.8,73:27,8000.0,117200.0,,7300.0,10300.0,13500.0,8600.0,10100.0,11700.0,,
E0122,黄**,工艺工程部,P5,工程师,技术,C,4.2,65:35,24800.0,386800.0,755.0,,27000.0,37600.0,,26500.0,32700.0,,
E0123,韩**,销售一部,P3,区域销售经理,销售,B,3.3,37:63,15300.0,,535.0,10500.0,14500.0,19000.0,12400.0,14200.0,16500.0,,
E0124,黄**,厂务部,P2,生产线技工,操作,B,3.6,,7700.0,106600.0,,8300.0,11500.0,14900.0,9800.0,11300.0,13000.0,,
E0125,曹**,人力资源部,P4,财务主管,职能,A,6.7,,20500.0,,,14400.0,21500.0,30400.0,17000.0,21100.0,26400.0,,
E0126,朱**,质量管理部,P1,检验员,操作,C,1.8,79:21,8500.0,106500.0,313.0,6200.0,8600.0,12000.0,7300.0,8400.0,10400.0,,
E0127,胡**,研发中心,P4,高级工程师,技术,B,3.6,66:34,16900.0,223600.0,627.0,13200.0,19700.0,27700.0,15500.0,19300.0,24100.0,,
E0128,许**,事业部管理,M2,总监,管理,C,0.6,58:42,60800.0,924200.0,1205.0,46400.0,67400.0,90300.0,54600.0,66100.0,78500.0,,
E0129,孙**,质量管理部,P2,检验员,操作,B,0.2,78:22,9900.0,134400.0,,,11700.0,16300.0,,11500.0,14200.0,,
E0130,赵**,生产制造部,P2,操作工,操作,B,0.2,78:22,10000.0,,337.0,7200.0,10600.0,14000.0,8500.0,10400.0,12200.0,,
E0131,徐**,财务部,P2,行政专员,职能,B,2.5,,11600.0,160900.0,383.0,7700.0,11200.0,15200.0,9100.0,11000.0,13200.0,,
E0132,梁**,人力资源部,P3,薪酬绩效经理,职能,A,3.8,72:28,13500.0,177700.0,491.0,10700.0,15100.0,19700.0,12600.0,14800.0,17100.0,,
E0133,陈**,财务部,P5,人力资源主管,职能,B,6.6,,22300.0,,,18200.0,26400.0,35100.0,21400.0,25900.0,30500.0,,
E0134,梁**,事业部管理,M1,部门经理,管理,B,0.8,,41900.0,592300.0,,33100.0,49600.0,69800.0,38900.0,48600.0,60700.0,,
E0135,唐**,采购部,P2,行政专员,职能,C,2.0,73:27,7800.0,103600.0,,7100.0,10200.0,14100.0,8400.0,10000.0,12300.0,,
E0136,张**,采购部,P1,行政专员,职能,B,0.2,,9300.0,132100.0,240.0,6000.0,8600.0,11200.0,7100.0,8400.0,9700.0,,
E0137,邓**,质量管理部,P2,生产线技工,操作,B,2.0,78:22,12000.0,155500.0,,8200.0,11500.0,15600.0,9700.0,11300.0,13600.0,,
E0138,陈**,法务合规部,P3,财务主管,职能,C,3.0,72:28,15800.0,,,10300.0,14800.0,20500.0,12100.0,14500.0,17800.0,,
E0139,唐**,总经办,P6,事业部总经理,管理,B,5.9,54:46,34000.0,522800.0,,24600.0,35800.0,48600.0,29000.0,35100.0,42300.0,,
E0140,陈**,运营管理部,M1,事业部负责人,管理,C,0.2,,60500.0,916800.0,1137.0,33200.0,46500.0,62300.0,39100.0,45600.0,54200.0,,
E0141,周**,工艺工程部,P6,研发架构师,技术,C,5.6,,32500.0,,,25800.0,37200.0,50400.0,30300.0,36500.0,43800.0,,
E0142,高**,仓储物流部,P2,生产线技工,操作,A,3.0,78:22,10200.0,134900.0,360.0,8200.0,11700.0,16200.0,9600.0,11500.0,14100.0,,
E0143,唐**,质量管理部,P2,检验员,操作,B,3.1,78:22,11000.0,136200.0,473.0,7500.0,10900.0,14400.0,8800.0,10700.0,12500.0,,
E0144,孙**,财务部,P2,行政专员,职能,B,0.2,73:27,11500.0,163500.0,345.0,7400.0,10600.0,14500.0,8700.0,10400.0,12600.0,,
E0145,马**,研发中心,P5,技术专家,技术,A,5.1,65:35,31000.0,,752.0,20700.0,28700.0,38400.0,24300.0,28100.0,33400.0,,
E0146,张**,产品技术部,P3,技术专家,技术,B,4.0,,16800.0,,564.0,10500.0,15200.0,20900.0,12400.0,14900.0,18200.0,,
E0147,林**,设备技术部,P4,工程师,技术,B,5.3,66:34,21200.0,308600.0,,14100.0,20700.0,27800.0,16600.0,20300.0,24200.0,,
E0148,韩**,工艺工程部,P4,工程师,技术,C,3.2,,26200.0,357600.0,628.0,13100.0,19300.0,25300.0,15400.0,18900.0,22000.0,,
E0149,吴**,厂务部,P2,检验员,操作,C,1.7,78:22,10700.0,143100.0,298.0,8100.0,11300.0,14700.0,9500.0,11100.0,12800.0,,
E0150,李**,运营管理部,M1,事业部负责人,管理,C,3.0,59:41,33100.0,,,31800.0,46800.0,61300.0,37400.0,45900.0,53300.0,,
